product_number,status,warehouserunner_url,message
1051972,canonical,https://app.warehouserunner.com/costco/1051972-kirkland-signature-calcium-gummy-2x120,
1069850,canonical,https://app.warehouserunner.com/costco/1069850-salonpas-pain-relieving-patch-140-count,
1106007,canonical,https://app.warehouserunner.com/costco/1106007-nature-s-bounty-vitamin-d3-125mcg-400-softgels,
1116624,canonical,https://app.warehouserunner.com/costco/1116624-schiff-move-free-advanced-200-tablets,
1197931,canonical,https://app.warehouserunner.com/costco/1197931-osteo-bi-flex-200-tablets,
1199824,canonical,https://app.warehouserunner.com/costco/1199824-nature-made-cholest-off-plus-210-softgels,
1235761,canonical,https://app.warehouserunner.com/costco/1235761-trunature-cranberry-650mg-140-capsules,
1241036,canonical,https://app.warehouserunner.com/costco/1241036-nature-s-truth-apple-cider-vinegar-1200mg-180-capsules,
1274751,canonical,https://app.warehouserunner.com/costco/1274751-one-a-day-men-s-50-healthy-advantage-300-tablets,
1274752,canonical,https://app.warehouserunner.com/costco/1274752-one-a-day-women-s-50-healthy-advantage-300-tablets,
1308590,canonical,https://app.warehouserunner.com/costco/1308590-nature-made-magnesium-400mg-liquid-softgel-180ct,
1351728,canonical,https://app.warehouserunner.com/costco/1351728-trunature-cinnamon-concentrate-cinsulin-500mg-200ct,
1408247,canonical,https://app.warehouserunner.com/costco/1408247-trunature-ginkgo-biloba-120mg-340-softgels,
1423302,canonical,https://app.warehouserunner.com/costco/1423302-trunature-women-s-daily-probiotic-90-capsules,
1562786,canonical,https://app.warehouserunner.com/costco/1562786-children-s-tylenol-suspension-dye-free-cherry-3x4-oz,
1563168,canonical,https://app.warehouserunner.com/costco/1563168-children-s-motrin-suspension-dye-free-berry-3x4oz,
1687275,canonical,https://app.warehouserunner.com/costco/1687275-qunol-ultra-coq10-100mg-180-softgls,
1698212,canonical,https://app.warehouserunner.com/costco/1698212-nature-made-fish-oil-1200mg-300-count,
1862992,canonical,https://app.warehouserunner.com/costco/1862992-pepto-bismol-chews-berry-mint-70ct,
1938952,canonical,https://app.warehouserunner.com/costco/1938952-olay-regenerist-10-hydrating-moisturizer,
1966263,canonical,https://app.warehouserunner.com/costco/1966263-olay-every-night-retinol-moisturizer,
1969459,canonical,https://app.warehouserunner.com/costco/1969459-olly-kids-multi-probiotic-gummy-160ct,
1985130,canonical,https://app.warehouserunner.com/costco/1985130-youtheory-concentrated-effect-verisol-collagen-2500mg-345ct,
1999423,canonical,https://app.warehouserunner.com/costco/1999423-olay-super-serum-8-in-1-day-night-2-0-845-fl-oz,
2051218,canonical,https://app.warehouserunner.com/costco/2051218-tylenol-extra-strength-500mg-caplets-320-count,
2054350,canonical,https://app.warehouserunner.com/costco/2054350-crest-3d-white-brilliant-min-toothpaste-5-5-2oz,
294017,canonical,https://app.warehouserunner.com/costco/294017-nature-made-triple-omega-180-liquid-softgels,
311676,canonical,https://app.warehouserunner.com/costco/311676-kirkland-signature-aller-tec-10mg-365-tablets,
529688,canonical,https://app.warehouserunner.com/costco/529688-kirkland-signature-allerclear-10mg-365-tablets,
553486,canonical,https://app.warehouserunner.com/costco/553486-nature-s-bounty-hair-skin-nails-250-softgels,
580664,canonical,https://app.warehouserunner.com/costco/580664-nature-made-prenatal-dha-150-count,
588153,canonical,https://app.warehouserunner.com/costco/588153-kirkland-signature-calcium-citrate-500-ct,
654260,canonical,https://app.warehouserunner.com/costco/654260-natrol-melatonin-5mg-fast-dissolve-250-tablets,
778152,canonical,https://app.warehouserunner.com/costco/778152-kirkland-signature-5-minoxidil-foam-for-men-6-mo-supply,
808620,canonical,https://app.warehouserunner.com/costco/808620-citracal-maximum-calcium-citrate-d-280-caplets,
853467,canonical,https://app.warehouserunner.com/costco/853467-one-a-day-men-s-multivitamin-300-count,
853472,canonical,https://app.warehouserunner.com/costco/853472-one-a-day-women-s-multivitamin-300-count,
855643,canonical,https://app.warehouserunner.com/costco/855643-advil-200mg-liquigel-2x120-count,
870735,canonical,https://app.warehouserunner.com/costco/870735-kirkland-signature-adult-multi-gummies-2x160ct,
897980,canonical,https://app.warehouserunner.com/costco/897980-kirkland-signature-children-s-multi-gummies-2x160ct,
935195,canonical,https://app.warehouserunner.com/costco/935195-bengay-ultra-strength-2-x-4-ounce,
